Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3951,0,3,3.935747422004553,1.0202080011367798,57.39750000066124,66.0,33.1050404022569,0.0,3,3,4,4,5,7,25,29,46,57,57
,Aggregated,3951,0,3,3.935747422004553,1.0202080011367798,57.39750000066124,66.0,33.1050404022569,0.0,3,3,4,4,5,7,25,29,46,57,57
