Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5733,0,3,3.4877926662747276,0.9133339917752892,62.66704201698303,66.0,48.079312788884806,0.0,3,3,4,4,5,6,17,21,32,63,63
,Aggregated,5733,0,3,3.4877926662747276,0.9133339917752892,62.66704201698303,66.0,48.079312788884806,0.0,3,3,4,4,5,6,17,21,32,63,63
